iter	MultiClass
213	0.5202337469
214	0.5202312784
215	0.5202279135
216	0.520224386
217	0.5202211354
218	0.520217402
219	0.5197316906
220	0.5185172638
221	0.5181335241
222	0.5173819381
223	0.5166482626
224	0.5152068576
225	0.5145992145
226	0.513883458
227	0.5138806171
228	0.513877291
229	0.5124445237
230	0.512441602
231	0.5124386457
232	0.5124349388
233	0.5122713794
234	0.510450543
235	0.5104471681
236	0.5104435264
237	0.5104407026
238	0.5104371459
239	0.5104343032
240	0.5101130325
241	0.5101098258
242	0.5101067231
243	0.5092302897
244	0.5084354318
245	0.5081512884
246	0.5076003055
247	0.5063136924
248	0.5063108022
249	0.5050963053
250	0.5050926787
251	0.5047395456
252	0.5047366037
253	0.5038698935
254	0.5032364119
255	0.502687702
256	0.5026844353
257	0.502680933
258	0.502678067
259	0.5026742148
260	0.5020148945
261	0.5020115029
262	0.5007834892
263	0.4999491154
264	0.4999455623
265	0.4999422168
266	0.4999390403
267	0.4989533097
268	0.4989487921
269	0.4983921569
270	0.4983889154
271	0.4983856013
272	0.4976897925
273	0.4968827979
274	0.495969422
275	0.4959661636
276	0.4959610407
277	0.4959582731
278	0.4953540195
279	0.4949017296
280	0.4942144181
281	0.4942108723
282	0.4942076742
283	0.4942041454
284	0.4942003387
285	0.493649403
286	0.4936465695
287	0.4936429838
288	0.4928040302
289	0.4924585809
290	0.4910250697
291	0.4910222743
292	0.4909454185
293	0.4907272944
294	0.4907238677
295	0.4907208078
296	0.4906540203
297	0.4901914572
298	0.4891382732
299	0.4891349534
300	0.4891312756
301	0.4891282426
302	0.4891248202
303	0.4891215266
304	0.4891190765
305	0.4885914392
306	0.4885886882
307	0.4885856592
308	0.4880758303
309	0.4873050899
310	0.4866012802
311	0.4865986041
312	0.4865954591
313	0.4857071649
314	0.4857044558
315	0.4857017164
316	0.4856984917
317	0.485695708
318	0.4856728909
319	0.484783446
320	0.4845498108
321	0.4837228267
322	0.4831397187
323	0.4831372481
324	0.4831343516
325	0.4831066366
326	0.4831041144
327	0.4825075794
328	0.4825050022
329	0.4814411832
330	0.4814389478
331	0.4807286998
332	0.4797700798
333	0.4797659295
334	0.4789871846
335	0.4789848938
336	0.4781895314
337	0.4772597484
338	0.4769266451
339	0.4769235958
340	0.4769210381
341	0.4766392704
342	0.476357557
343	0.4757624973
344	0.4756773027
345	0.4756745033
346	0.4751741947
347	0.4751711722
348	0.4751683273
349	0.4745565661
350	0.4745539166
351	0.4738617357
352	0.473858969
353	0.4738560692
354	0.4738532815
355	0.4732315335
356	0.4725708445
357	0.4719710146
358	0.4719685041
359	0.4719658727
360	0.4719635408
361	0.4711244132
362	0.4711216908
363	0.4711190094
364	0.4710463378
365	0.470690498
366	0.4700037004
367	0.470000803
368	0.4691841091
369	0.468436216
370	0.4682639476
371	0.4679454389
372	0.4679426481
373	0.4673865266
374	0.4673839495
375	0.4673813601
376	0.4671456969
377	0.4671429903
378	0.4668134428
379	0.4668109301
380	0.4668083585
381	0.4659299013
382	0.4659259734
383	0.4656580357
384	0.4656555433
385	0.4651099342
386	0.4651070964
387	0.4651044052
388	0.4651020169
389	0.4644157321
390	0.4644135824
391	0.464410656
392	0.4644083116
393	0.4644061059
394	0.4636926336
395	0.4636899931
396	0.4631895942
397	0.4626768246
398	0.4626742501
399	0.4626720721
400	0.4620130843
401	0.4617980603
402	0.461795633
403	0.4609832222
404	0.4599426993
405	0.4590472885
406	0.4588400653
407	0.4581101096
408	0.4577415082
409	0.4571281105
410	0.4569890529
411	0.4569486456
412	0.4567927693
413	0.4567901331
414	0.4562402125
415	0.4562368635
416	0.4553542886
417	0.4545614023
418	0.4539492428
419	0.4539465931
420	0.4539439194
421	0.453379872
422	0.4533774146
423	0.4530120237
424	0.452422701
425	0.4524207454
426	0.4524183814
427	0.4517826796
428	0.4510233379
429	0.4510213739
430	0.4510186882
431	0.4507807061
432	0.4507785458
433	0.4507759605
434	0.4503653718
435	0.449995735
436	0.4499931637
437	0.4493642902
438	0.4493619196
439	0.4493594396
440	0.4486420528
441	0.4486397488
442	0.4480306192
443	0.4470309959
444	0.4466806353
445	0.446678644
446	0.4466762947
447	0.4463719555
448	0.4463697477
449	0.4454293344
450	0.4448867436
451	0.4440507858
452	0.4440484302
453	0.4440464275
454	0.4434754207
455	0.4434735567
456	0.443470954
457	0.4434690636
458	0.4432413374
459	0.4428054271
460	0.4419277267
461	0.4409641273
462	0.440962068
463	0.4401130375
464	0.439610628
465	0.4389952232
466	0.4384056533
467	0.4379615731
468	0.4379590016
469	0.437956729
470	0.4374907225
471	0.4374871684
472	0.4374461035
473	0.4369262114
474	0.4366956972
475	0.4361815934
476	0.4355651245
477	0.4355629655
478	0.4355608388
479	0.4355587086
480	0.4347047852
481	0.4346979383
482	0.4341184388
483	0.4336071162
484	0.4336047708
485	0.433147152
486	0.4327770603
487	0.4323382764
488	0.4323364532
489	0.4318762417
490	0.4318741306
491	0.4311815081
492	0.4311794636
493	0.4304201144
494	0.4304175723
495	0.4300112347
496	0.4300084575
497	0.4300064508
498	0.4292753358
499	0.4287005219
500	0.4283311107
501	0.4282071809
502	0.4278694865
503	0.427867201
504	0.4278649607
505	0.4273453037
506	0.4273434816
507	0.4272116597
508	0.4270208988
509	0.4265549231
510	0.4260930126
511	0.4255440292
512	0.4252191292
513	0.4252170221
514	0.4252152054
515	0.4252132102
516	0.4252109574
517	0.4252090792
518	0.4252070485
519	0.4252046785
520	0.4252025502
521	0.4247578315
522	0.4240194609
523	0.4240175875
524	0.4232654906
525	0.4232635312
526	0.4224888941
527	0.4219637817
528	0.4219615425
529	0.4219596433
530	0.4213103563
531	0.4213082944
532	0.4207219775
533	0.4200017674
534	0.4199988109
535	0.4199942249
536	0.4199925668
537	0.419990666
538	0.4191827543
539	0.4186624127
540	0.4182399527
541	0.4182383044
542	0.4182363534
543	0.4177796418
544	0.4174380188
545	0.4174358608
546	0.4174340227
547	0.4174320905
548	0.4172675526
549	0.4161531229
550	0.416150941
551	0.4161491174
552	0.4161471661
553	0.4156494606
554	0.4153011416
555	0.4152990726
556	0.4152974362
557	0.4151247551
558	0.4151218716
559	0.4146843457
560	0.414258788
561	0.4137015354
562	0.4136995289
563	0.4136977579
564	0.4131980114
565	0.4125662401
566	0.4125642175
567	0.4125191219
568	0.4122985669
569	0.4120760468
570	0.4114050519
571	0.410982994
572	0.4103710848
573	0.4103677273
574	0.4103659474
575	0.4103644584
576	0.4102385517
577	0.4102365438
578	0.4100950909
579	0.409749959
580	0.40974831
581	0.4094977037
582	0.4094959198
583	0.4090413662
584	0.4090391998
585	0.4090364642
586	0.4089716168
587	0.4084440748
588	0.4079035619
589	0.4079021823
590	0.4075781355
591	0.4075763988
592	0.4075747629
593	0.4071391506
594	0.4068414503
595	0.4063248351
596	0.4058620052
597	0.4053265069
598	0.4047612147
599	0.4046962188
600	0.4039614788
601	0.4039594508
602	0.4037800308
603	0.4037783017
604	0.4037765645
605	0.4037747184
606	0.4032846333
607	0.4031841678
608	0.403182726
609	0.4027755161
610	0.4021944143
611	0.4012791415
612	0.4012775408
613	0.4012760721
614	0.4007752196
615	0.4006916926
616	0.4006900464
617	0.4000542267
618	0.3993024125
619	0.3987402805
620	0.3985181119
621	0.3985163976
622	0.39851449
623	0.3985128292
624	0.3977966574
625	0.3977944921
626	0.3977113618
627	0.3977095692
628	0.3972954772
629	0.3969359017
630	0.396934271
631	0.3967304501
632	0.3967287975
633	0.3963241501
634	0.3962160281
635	0.3962146551
636	0.3960665399
637	0.396064084
638	0.3953451563
639	0.395336297
640	0.3950746009
641	0.394851195
642	0.3948493792
643	0.394130026
644	0.3937273047
645	0.3937254451
646	0.3933125935
647	0.3933109902
648	0.3933094655
649	0.3932196679
650	0.3932179438
651	0.3932163972
652	0.3932146743
653	0.3932123784
654	0.3929003269
655	0.3924093178
656	0.3924079641
657	0.3924060869
658	0.392404104
659	0.3924024757
660	0.3924008038
661	0.3919459583
662	0.3919442322
663	0.3917989822
664	0.3912125356
665	0.3905048362
666	0.3905034125
667	0.3900830702
668	0.3898056509
669	0.3894354463
670	0.3894336472
671	0.3889863762
672	0.388902884
673	0.388901079
674	0.3888993727
675	0.3884181789
676	0.3884162947
677	0.3884148285
678	0.3881133111
679	0.3878767031
680	0.3878751219
681	0.3876456324
682	0.387643853
683	0.3876415803
684	0.3876396218
685	0.3876378083
686	0.3871289941
687	0.3868901915
688	0.3868887781
689	0.3863317326
690	0.3857522666
691	0.3852263879
692	0.3848767781
693	0.3848751418
694	0.3845419569
695	0.3840514695
696	0.383481666
697	0.3830632264
698	0.3827368225
699	0.3827350374
700	0.3821257511
701	0.38161214
702	0.3811566437
703	0.3809341807
704	0.3809328088
705	0.3805806651
706	0.3805792182
707	0.3803182687
708	0.3799508438
709	0.3797209728
710	0.3797196014
711	0.3792936247
712	0.3789308556
713	0.3785584758
714	0.3785304961
715	0.3781940054
716	0.377596473
717	0.3772800132
718	0.3772783534
719	0.376919089
720	0.37691767
721	0.3767555754
722	0.3762271619
723	0.3762257437
724	0.3757075526
725	0.3752142921
726	0.3748572383
727	0.3744046924
728	0.3740593267
729	0.3740567771
730	0.3734891665
731	0.3734874021
732	0.3734859676
733	0.373287278
734	0.3732855977
735	0.3729088886
736	0.3729073683
737	0.3729059837
738	0.3729043645
739	0.3724950864
740	0.3724936569
741	0.3720556816
742	0.3718778571
743	0.3712967291
744	0.3712359375
745	0.370867361
746	0.3707246991
747	0.3703486717
748	0.3700871138
749	0.3700824995
750	0.3700810125
751	0.3700797566
752	0.3700785227
753	0.369596874
754	0.3691607557
755	0.3688644998
756	0.3685847204
757	0.3682658807
758	0.3682644959
759	0.3682631236
760	0.3679785192
761	0.3679617976
762	0.3679603143
763	0.3677428347
764	0.367387114
765	0.3670632137
766	0.3666393631
767	0.3666378361
768	0.3666122055
769	0.3662858033
770	0.3662841595
771	0.3659948063
772	0.3655396064
773	0.3655383917
774	0.3651687469
775	0.3649417456
776	0.3646283221
777	0.3643245419
778	0.3641584021
779	0.3641572115
780	0.3641559746
781	0.3637678033
782	0.3634068731
783	0.3632560323
784	0.3627592747
785	0.3627502047
786	0.362747954
787	0.3623991767
788	0.3620663538
789	0.3617263714
790	0.3613692425
791	0.3611353254
792	0.3611339131
793	0.360899785
794	0.3608984714
795	0.3604882482
796	0.3601835722
797	0.3601822956
798	0.3597747279
799	0.359457899
800	0.3594565653
801	0.3594552182
802	0.3589416331
803	0.3589398211
804	0.3584835153
805	0.3580456465
806	0.3577729776
807	0.3574840197
808	0.3571578193
809	0.3567252018
810	0.3567238336
811	0.3565605959
812	0.3565594292
813	0.3565581307
814	0.3562622971
815	0.3562609311
816	0.3556805775
817	0.355679502
818	0.3556771662
819	0.3556759537
820	0.3552550945
821	0.3548462153
822	0.3548447671
823	0.3548425521
824	0.3548380649
825	0.3546992484
826	0.3546977835
827	0.3543584531
828	0.3541590527
829	0.3538688502
830	0.3538675134
831	0.3538661275
832	0.3537225014
833	0.3533692477
834	0.353365108
835	0.3533636972
836	0.3528271351
837	0.3524570005
838	0.3520613888
839	0.3520601978
840	0.35205868
841	0.3520572804
842	0.352056012
843	0.3515822829
844	0.3510190035
845	0.3507922642
846	0.3507909867
847	0.3507897462
848	0.3507645678
849	0.3507634686
850	0.3502972712
851	0.3499506371
852	0.3495481402
853	0.3492337137
854	0.3488922325
855	0.348687009
856	0.3485261673
857	0.3484756144
858	0.3479926065
859	0.347991151
860	0.3479899952
861	0.347420391
862	0.3473938213
863	0.347050789
864	0.3469323119
865	0.3464781196
866	0.346189448
867	0.3460649262
868	0.3457760342
869	0.3451716217
870	0.3449399392
871	0.3446424297
872	0.3446411117
873	0.3442125626
874	0.3438501086
875	0.3436418088
876	0.3436405318
877	0.3433774088
878	0.3428606824
879	0.3425318172
880	0.3424101346
881	0.3424087371
882	0.3424074021
883	0.3424059408
884	0.3424038343
885	0.342179718
886	0.341706061
887	0.3417049855
888	0.3417038256
889	0.3414283639
890	0.3411256424
891	0.3411244028
892	0.3408622271
893	0.3404446634
894	0.3402601504
895	0.340258914
896	0.3399954402
897	0.3396538013
898	0.3396526455
899	0.3396513136
900	0.3391330525
901	0.3387944143
902	0.3387932688
903	0.3384533684
904	0.3380950336
905	0.3380940541
906	0.3380929589
907	0.3377744567
908	0.337445199
909	0.3371383781
910	0.3368586
911	0.3368574517
912	0.3364887137
913	0.3364874957
914	0.3361191246
915	0.3357450144
916	0.3353647647
917	0.3347757816
918	0.3343012356
919	0.3342982773
920	0.3339392689
921	0.3338654264
922	0.3336928763
923	0.3336307535
924	0.3333948685
925	0.3333697498
926	0.3333686341
927	0.3332270503
928	0.3329340125
929	0.3329305384
930	0.3328637472
931	0.3327531787
932	0.3326388335
933	0.3324617359
934	0.3320961169
935	0.3319731861
936	0.3315276317
937	0.3310865453
938	0.330825809
939	0.3301314801
940	0.32950726
941	0.3295053556
942	0.3292913609
943	0.3292901709
944	0.3287008478
945	0.3283489799
946	0.3282278477
947	0.3282268266
948	0.3282255572
949	0.3276840467
950	0.3276819584
951	0.3276808789
952	0.3272655003
953	0.3272645255
954	0.3269949699
955	0.326992523
956	0.3265614276
957	0.3260771101
958	0.3260761242
959	0.3259432586
960	0.325942035
961	0.3259397012
962	0.3259385151
963	0.3258161003
964	0.3255959291
965	0.3255947707
966	0.3253192861
967	0.3249797626
968	0.3245976458
969	0.3244523797
970	0.3241306478
971	0.3238533031
972	0.3235055397
973	0.3233542709
974	0.3232302181
975	0.3229257863
976	0.3226593527
977	0.3226582244
978	0.3226571808
979	0.3224411603
980	0.3221023191
981	0.3216022819
982	0.3216012562
983	0.3215418519
984	0.3215220818
985	0.3211995851
986	0.3208398856
987	0.3208387548
988	0.3205253867
989	0.3201920525
990	0.3198954717
991	0.3198942477
992	0.3195053205
993	0.3195035052
994	0.3194986942
995	0.3193299389
996	0.3187810079
997	0.3183781748
998	0.3181202725
999	0.3179364189
